fin_year,month,state_code,state_name,district_code,district_name,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Average_days_of_employment_provided_per_Household,Differently_abled_persons_worked,Material_and_skilled_Wages,Number_of_Completed_Works,Number_of_GPs_with_NIL_exp,Number_of_Ongoing_Works,Persondays_of_Central_Liability_so_far,SC_persondays,SC_workers_against_active_workers,ST_persondays,ST_workers_against_active_workers,Total_Adm_Expenditure,Total_Exp,Total_Households_Worked,Total_Individuals_Worked,Total_No_of_Active_Job_Cards,Total_No_of_Active_Workers,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,Total_No_of_JobCards_issued,Total_No_of_Workers,Total_No_of_Works_Takenup,Wages,Women_Persondays,percent_of_Category_B_Works,percent_of_Expenditure_on_Agriculture_Allied_Works,percent_of_NRM_Expenditure,percentage_payments_gererated_within_15_days,Remarks
2018-2019,Aug,04,ASSAM,0420,Dima Hasao,336270,148.264836551937,19,4,18.988717174,59,2,3909,100613,606,793,95509,53169,5.12,173.282417174,5104,6053,22227,57611,2,31901,78039,3968,149.1737,32783,85,94.57,66.37,129.82,NA
2018-2019,Aug,04,ASSAM,0428,Biswanath,0,167.002447058256,15,199,54.751174322,546,0,3690,331827,25299,13167,79854,26200,0,608.910384322,21208,25213,79104,153269,7,131771,234927,4236,554.15921,140175,68,80.76,65.03,106.83,NA
2018-2019,Aug,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,0,161.623957481603,13,1,101.27072694,11,9,500,24460,94,514,734,75,0,140.80394694,1796,1882,14668,21565,0,38882,55403,511,39.53322,9796,55,83.02,82.71,516.8,NA
2018-2019,July,04,ASSAM,0405,BARPETA,1416352,265.053765328197,20,468,508.737786426,586,0,13578,1041463,15568,10721,12300,3908,27.64345,3296.818132426,51028,84446,150078,356749,16,290502,629903,14164,2760.436896,415476,64,80.44,80.64,120.01,NA
2018-2019,July,04,ASSAM,0406,NALBARI,728047,181.644993841935,22,22,576.111136597,948,0,4946,673101,19858,5345,9813,3435,0,1798.765406597,29995,36693,74248,136944,96,146338,247006,5894,1222.65427,220094,51,59.82,59.29,101.26,NA
2018-2019,July,04,ASSAM,0408,DARRANG,665649,193.20017335975,15,22,413.413201826,1246,0,5493,314952,14771,5934,1148,798,7.95,1029.851011826,20820,27591,79869,189306,1,161298,330545,6739,608.48781,118122,69,58.7,48.58,100.5,NA
2018-2019,July,04,ASSAM,0416,SIVASAGAR,575449,182.618033921772,15,10,22.929939464,590,2,1785,69336,3954,5281,13171,10532,12.31,161.859979464,4607,5753,57003,120070,0,103614,193197,2375,126.62004,22994,56,95.02,63.38,102.09,NA
2018-2019,July,04,ASSAM,0417,DIBRUGARH,643411,199.514891310051,13,50,540.268476883,1089,0,3751,285905,10912,8490,42721,27651,0,1110.691526883,21327,26749,116907,231067,5,173150,310231,4840,570.42305,127254,53,81.89,68.99,104.06,NA
2018-2019,July,04,ASSAM,0420,Dima Hasao,267710,127.380621873051,16,3,18.988717174,35,5,3740,75353,498,793,71574,53218,5.12,120.093837174,4453,5063,22226,57666,1,31826,77967,3775,95.98512,23927,85,97.75,81.05,112.94,NA
2018-2019,July,04,ASSAM,0421,KARIMGANJ,538513,182.771094020087,13,27,119.237363012,655,1,8153,222729,23613,22411,2178,1821,9.87,536.191593012,16443,20178,103636,151492,0,213161,283059,8808,407.08423,80851,74,84.82,78.06,100.62,NA
2018-2019,July,04,ASSAM,0423,CACHAR,932203,222.866893281218,18,9,1.9247324,670,33,8317,215932,12595,14781,4712,3237,0,483.1656724,11412,11776,139586,189345,0,258189,333220,8987,481.24094,47259,71,57.98,43.43,125.4,NA
2018-2019,July,04,ASSAM,0424,BAKSA,620198,210.030614602069,16,12,1022.110646348,964,0,10673,400861,30854,23834,212330,121446,21.95995,1886.001418348,24749,27974,148830,273837,0,224567,385867,11637,841.930822,194993,79,73.58,72.43,105.88,NA
2018-2019,July,04,ASSAM,0425,CHIRANG,468448,202.290029003407,19,2,1161.72105879,260,0,4173,197563,8072,11572,121619,83081,18.1999,1579.57120879,10326,15136,81848,184754,4,108640,235316,4433,399.65025,88096,73,70.55,52.13,100.17,NA
2018-2019,July,04,ASSAM,0430,CHARAIDEO,0,169.252666514076,11,7,10.8734715,339,1,1444,43690,343,1180,1189,2072,0,84.8199615,3961,4749,37412,73443,1,64031,111874,1783,73.94649,17157,56,94.85,71.54,107.88,NA
2021-2022,Feb,04,ASSAM,0404,GOALPARA,1918833,201.016996679209,30,151,494.90674211,4758,0,24466,2072699,30817,7955,316785,56603,34.4,4695.78402211,67507,108764,107183,250179,718,201150,407074,29224,4166.47728,986513,95,82.2,73.96,100.94,NA
2021-2022,Feb,04,ASSAM,0405,BARPETA,6060135,211.99833614826,40,2242,2144.165279165,6493,0,59110,6731970,115950,10321,71550,4363,82.56,16498.389669165,165961,273624,227027,448054,7303,367326,724051,65603,14271.66439,2921075,90,55.49,83.79,102.48,NA
2021-2022,Feb,04,ASSAM,0412,Morigaon,2874550,214.584006996657,29,132,1443.911395052,4634,0,31844,2877946,255597,29646,245935,33577,47.1525,7666.675741052,97364,147575,149706,292485,264,216413,403227,36478,6175.611846,1360447,92,83.79,77.04,100.61,NA
2021-2022,Feb,04,ASSAM,0417,DIBRUGARH,1824551,196.760629193845,22,154,177.270636856,4385,0,7254,2123797,69825,9361,255640,29599,77.9,4433.966976856,95203,130242,149862,274810,577,207267,358068,11639,4178.79634,1111965,73,84.5,83.03,100.29,NA
2021-2022,Feb,04,ASSAM,0422,HAILAKANDI,2808222,190.861784534901,30,120,279.084346778,866,0,12828,2636362,137099,13934,17191,2550,26.05,5336.941906778,85831,118705,108652,190095,262,151737,248978,13694,5031.80756,906197,78,81.61,93.69,99.82,NA
2021-2022,Feb,04,ASSAM,0430,CHARAIDEO,485495,207.510877138953,20,56,41.621055534,2844,0,2591,519530,8492,1450,11927,2393,14.4,1134.102315534,25940,34318,45725,86383,151,79733,137469,5435,1078.08126,246582,70,93.11,81.78,100.03,NA
2021-2022,Feb,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,1745533,206.544785706929,34,12,196.79474294,335,0,1881,1708688,14932,1168,2853,260,8.4,3734.40071094001,49738,53680,63706,78774,8,128301,162201,2216,3529.20596800001,1022869,65,54.12,64.57,103.5,NA
2021-2022,Feb,04,ASSAM,0434,WEST KARBI ANGLONG,0,215.552730059967,18,1,112.5749484,1814,0,4251,288327,7759,1877,207708,48506,0,734.0716684,15338,17783,34731,63528,14,53353,95718,6065,621.49672,147894,87,89.72,66.51,100.41,NA
2019-2020,March,04,ASSAM,0407,KAMRUP,2257001,201.322314173665,29,83,1135.016450632,2322,0,9217,2304598,142108,22090,178588,34802,12.19626,5786.882736632,77595,105435,132309,287967,944,280781,577807,11539,4639.670026,853724,79,64.76,66.78,100.49,NA
2019-2020,March,04,ASSAM,0414,GOLAGHAT,1296119,196.319694652058,21,84,372.288582859,4709,0,10317,1516041,77779,13574,192440,33758,0,3348.575644859,71177,95400,125561,258126,515,185607,363163,15026,2976.287062,646942,89,81.62,63.41,100.45,NA
2019-2020,March,04,ASSAM,0422,HAILAKANDI,845311,197.924971516444,24,34,404.484454697,1242,0,1903,858390,78443,10821,18259,2561,28.12,2131.572617697,35410,40543,80271,152126,78,135650,236039,3145,1698.968163,199598,88,68.64,63.02,103.11,NA
2020-2021,Feb,04,ASSAM,0415,JORHAT,1272281,202.664998031058,22,97,253.3353694,1773,0,3705,1272257,67229,8700,103741,13560,0,2831.7549934,57638,65476,90588,144554,212,155526,226281,5478,2578.419624,610552,58,89,82.33,102.7,NA
2020-2021,Feb,04,ASSAM,0421,KARIMGANJ,4097342,198.691923350865,36,103,1574.274196012,3796,0,13147,4092675,397069,27852,28787,2239,0,9706.088870012,112532,133947,150373,209929,3286,256891,331269,16943,8131.814674,1529838,71,93.13,85.46,100.36,NA
2020-2021,Feb,04,ASSAM,0430,CHARAIDEO,749339,210.017003080307,25,59,89.1618167099999,1856,0,4136,749276,10235,1343,12712,2269,0,1662.76881671,28977,38236,45878,87028,372,75477,128620,5992,1573.607,322690,86,87.34,66.21,100,NA
2020-2021,Feb,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,1659020,206.500604765167,36,15,440.804961035001,882,0,1648,1505047,25614,1119,4553,223,0,3548.736118035,41464,45163,55337,68042,521,98604,119091,2530,3107.931157,860918,69,69.75,82.52,100.29,NA
2019-2020,May,04,ASSAM,0412,Morigaon,352124,197.164310419616,14,18,21.441194625,1719,7,5419,350416,53071,27084,30638,31163,0,712.336484625,24289,33646,123991,261312,0,178190,348059,7138,690.89529,133692,82,53.84,79.98,100.75,NA
2019-2020,May,04,ASSAM,0429,HOJAI,417103,168.673406516177,20,70,2.8059835,9,7,1897,415489,65462,18899,14173,4849,0,703.6254335,19838,27950,70125,122544,11,111591,186521,1906,700.81945,158868,62,53.49,82.22,99.99,NA
2021-2022,Jan,04,ASSAM,0405,BARPETA,5980614,220.356234571222,38,2154,2109.925914024,6275,0,58313,6171908,105164,10317,65463,4361,82.56,15792.669984024,159107,260807,226769,447695,5996,365977,725167,64588,13600.18407,2673653,90,55.56,83.35,102.42,NA
2021-2022,Jan,04,ASSAM,0409,SONITPUR,2757200,224.520617217903,32,61,531.630977935999,3694,0,11855,2768293,70568,7003,112304,11498,52.48,6799.499507936,85831,99721,140990,191364,827,216752,327914,15549,6215.38853,1388484,75,59.39,80.36,100.57,NA
2021-2022,Jan,04,ASSAM,0412,Morigaon,2806810,223.5055381202,28,127,1418.497819618,4387,0,31605,2709692,237578,29623,216270,33575,47.1525,7521.962005618,93714,141863,149650,292387,216,214665,400928,35992,6056.311686,1276273,91,83.74,77.21,100.65,NA
2021-2022,Jan,04,ASSAM,0413,NAGAON,4775132,223.372303559261,32,193,1490.026804828,7573,0,35541,4771299,216790,17853,101409,12114,106.48,12254.267290828,144886,197476,211517,349680,2520,347709,531520,43114,10657.760486,2168271,89,52.82,75.56,101.36,NA
2021-2022,Jan,04,ASSAM,0424,BAKSA,1231279,218.231044668,19,80,639.480553508,4627,0,12398,1336281,80641,24094,592712,131001,65.28,3620.940539508,67546,78763,165470,301100,60,276427,468009,17025,2916.179986,730986,80,56.39,63.56,102.77,NA
2021-2022,Jan,04,ASSAM,0425,CHIRANG,799339,224.863329220873,25,29,1234.938468764,698,0,6147,1196364,52834,12560,643809,91423,41.75496,3966.877348764,47520,71119,90730,200441,229,127552,269764,6845,2690.18392,610586,72,45.04,77.04,100.71,NA
2021-2022,Jan,04,ASSAM,0429,HOJAI,2024648,220.784668114941,37,343,131.510420477,2874,0,7427,2004685,190269,20476,48092,5257,28.05,4585.597544477,53628,74662,87123,150558,1098,147278,244746,10301,4426.037124,880277,77,52.69,85.76,99.62,NA
2021-2022,Jan,04,ASSAM,0434,WEST KARBI ANGLONG,0,223.171924983207,19,1,112.5749484,1789,0,4173,275405,7578,1875,196197,48499,0,727.2015884,14456,16678,34725,63519,12,53211,95466,5962,614.62664,140678,87,89.48,65.67,100.44,NA
2018-2019,Dec,04,ASSAM,0402,KOKRAJHAR,1915737,178.448430137925,33,223,893.254897641,644,6,8270,1307376,18312,5345,509365,119213,26.89365,3253.140495641,38878,69015,113746,320524,564,190597,488883,8914,2332.991948,551943,64,58.74,47.16,103.59,NA
2018-2019,Dec,04,ASSAM,0407,KAMRUP,1831979,188.81286830824,22,66,324.659206611,1890,0,10334,1324502,99815,20838,155317,34999,15.13,2840.619423611,58297,69943,120175,265364,11,258094,544220,12224,2500.830217,417263,79,82.58,67.88,103.75,NA
2018-2019,Dec,04,ASSAM,0409,SONITPUR,2185178,177.127646599355,16,24,268.998819039,1268,0,3977,451929,20012,6475,40826,12437,49.74324,1119.233261039,27430,28135,94294,167740,1,155478,250714,5245,800.491202,179570,69,63.52,42,104.53,NA
2018-2019,Dec,04,ASSAM,0411,DHEMAJI,1508792,179.568043779762,32,109,976.165811585,1711,0,9210,1317321,41435,11353,718284,164763,16.321,3357.974361585,40162,73836,92244,340096,135,145188,473706,10921,2365.48755,633102,77,68.87,65.1,100.5,NA
2018-2019,Dec,04,ASSAM,0421,KARIMGANJ,1109862,172.951762261561,22,42,158.006494732,878,0,8737,957321,107163,22352,10966,1818,9.87,1823.580034732,42752,50039,103337,150892,6,213573,283442,9615,1655.70354,330961,76,81.1,70.35,106.81,NA
2019-2020,July,04,ASSAM,0407,KAMRUP,824738,214.252666285208,18,49,522.894192839,810,2,2865,819661,50072,22212,56225,34967,0,2279.039739839,43700,55122,130210,287053,15,272070,567420,3675,1756.145547,281955,51,59.16,70.31,100.32,NA
2019-2020,July,04,ASSAM,0408,DARRANG,291331,222.556289350626,18,25,368.792715346001,2521,0,980,288909,7708,5455,1279,703,0,1011.777865346,15657,24246,76072,179562,1,167210,337505,3501,642.98515,122269,79,58.53,56.47,100.15,NA
2019-2020,July,04,ASSAM,0413,NAGAON,1565580,193.752277620404,21,48,0.5650194,681,0,7073,1565274,98149,15242,44222,11780,22.8,3056.1190454,71680,88761,171540,275216,28,276450,419456,7754,3032.754026,608048,73,54.05,72.71,100.25,NA
2019-2020,July,04,ASSAM,0416,SIVASAGAR,156440,212.943458831201,11,32,1.4403012,236,0,925,156417,7556,5457,13801,10938,0,334.5200712,13695,16993,59957,125206,0,109726,201939,1161,333.07977,69652,13,73.82,85.39,101.21,NA
2019-2020,July,04,ASSAM,0417,DIBRUGARH,840251,197.495194337026,15,122,131.743935685,607,0,1509,839135,33344,8617,118451,28368,0,1788.995234685,55610,73397,124666,242624,44,188378,329769,2116,1657.251299,408163,40,67.96,73.98,100.62,NA
2019-2020,July,04,ASSAM,0421,KARIMGANJ,1320534,170.536741020473,19,68,0,2101,0,8330,1320309,152891,24961,11570,2099,0,2251.61194,68796,78192,125383,177634,7,224459,295491,10431,2251.61194,459599,78,90.37,80.07,100.33,NA
2019-2020,July,04,ASSAM,0422,HAILAKANDI,193148,184.024692273008,16,14,92.546009441,309,0,1945,192947,20038,10962,2357,2564,15.295,462.911132441,12029,13176,79878,153878,0,132023,234201,2254,355.070123,48946,88,50.43,42.47,103.09,NA
2019-2020,July,04,ASSAM,0428,Biswanath,593748,191.120373739211,17,417,37.667804875,188,1,2898,593676,34404,13474,144491,30107,0,1172.303594875,34850,43030,84039,165471,1,140710,250182,3086,1134.63579,272364,70,48.08,77.27,100.57,NA
2020-2021,June,04,ASSAM,0402,KOKRAJHAR,536662,181.084379625892,17,57,0,532,2,8477,535032,5847,4711,224957,105335,0,968.859378,30300,43649,110913,295013,0,198157,493828,9009,968.859378,242117,76,68.93,79.24,100.18,NA
2020-2021,June,04,ASSAM,0407,KAMRUP,786059,179.097556113154,18,25,0,1981,0,9979,785511,48076,23990,55316,38487,0,1406.831004,42245,58336,153124,330551,35,286667,584478,11960,1406.831004,310817,74,68.63,63.8,100.05,NA
2020-2021,June,04,ASSAM,0409,SONITPUR,449390,188.945453735962,14,20,0.03,1454,0,10412,449215,12435,6933,24295,13990,0,848.80132,30289,33890,121207,216259,3,187648,297566,11866,848.77132,195620,77,75.91,65.17,101.5,NA
2020-2021,June,04,ASSAM,0412,Morigaon,493146,180.090679674717,15,46,0,607,0,8441,489543,46965,28979,50233,33151,0,881.621316,32076,43682,133154,274131,0,186665,354647,9048,881.621316,201820,74,54.49,68.66,100.01,NA
2020-2021,June,04,ASSAM,0415,JORHAT,185650,204.376046323727,11,28,0,398,0,3944,185650,7950,8398,21942,12858,0,379.42413,16293,17881,85364,138377,1,146012,214847,4342,379.42413,79866,64,81.48,69.4,101.09,NA
2020-2021,June,04,ASSAM,0420,Dima Hasao,138588,142.341318318666,17,5,0,387,0,6460,138176,2822,794,122161,56963,0,196.68154,7873,10259,25728,62252,0,33950,78853,6847,196.68154,52152,82,78.38,48.32,102.5,NA
2020-2021,June,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,185479,215.88927109967,12,3,0,39,0,1787,173261,2484,1063,524,163,0,374.05191,13976,15114,40131,52192,0,63515,82326,1826,374.05191,97192,69,83.98,92.74,101.66,NA
2022-2023,Jan,04,ASSAM,0406,NALBARI,2018681,226.207425658955,28,32,124.1283804,5263,0,32087,2101699,63667,8139,34157,4833,0,4878.3275834,73174,110565,123087,230447,154,206661,357196,37350,4754.199203,967763,90,77.31,53.62,101.23,NA
2022-2023,Jan,04,ASSAM,0410,LAKHIMPUR,2667883,232.21427525869,31,162,455.710779319,7176,0,34017,2907534,142258,17098,642822,89126,0,7207.419785319,92463,165620,158735,360108,935,243969,509067,41193,6751.709006,1494720,92,84.31,57.53,100.62,NA
2022-2023,Jan,04,ASSAM,0413,NAGAON,3033031,224.859246217869,34,310,428.858802872,16524,0,64560,4772838,150802,17543,81107,11699,0,11161.026352872,139450,192669,218435,357681,792,418658,636023,81084,10732.16755,2113900,93,81.5,39.89,102.82,NA
2022-2023,Jan,04,ASSAM,0414,GOLAGHAT,2495996,230.361135111388,33,131,581.184908631,8433,0,24736,2326362,113924,15145,243147,34675,0,5940.218818631,69854,106712,144295,286923,1228,222153,437836,33169,5359.03391,1135473,89,87.12,42.45,100.27,NA
2022-2023,Jan,04,ASSAM,0422,HAILAKANDI,1774948,230.776633291705,31,68,119.061642465,6509,0,20426,1794459,94583,15011,10330,2746,0,4260.253708465,57233,77116,116121,203544,92,166389,270991,26935,4141.192066,601203,90,83.02,46.56,101.01,NA
2022-2023,Jan,04,ASSAM,0429,HOJAI,1866323,227.611063394653,32,365,38.56664256,5593,0,24638,2056593,192303,20056,34212,5470,0,4719.59983956,62911,90321,89260,153149,181,173322,288790,30231,4681.033197,911073,96,71.86,48.8,100.83,NA
2022-2023,Jan,04,ASSAM,0435,TAMULPUR,1369021,241.866183791226,24,12,114.360992374,968,0,19073,810561,112091,17402,306902,54620,0,2074.833950374,33106,48255,67039,135190,39,123364,219894,20041,1960.472958,437898,91,70.75,59.18,103.83,NA
2020-2021,May,04,ASSAM,0402,KOKRAJHAR,190727,157.043878247179,13,27,0,244,5,8391,190550,2285,4717,66795,105312,0,299.24711,14487,19517,110756,295703,0,197963,494911,8635,299.24711,86980,76,68.82,74.04,100.19,NA
2020-2021,May,04,ASSAM,0411,DHEMAJI,248921,149.391187274437,11,54,0,566,0,10384,248822,9090,14216,94720,187004,0,371.71814,21224,35291,121818,392307,0,172585,505062,10950,371.71814,130141,80,46.4,56.34,101.14,NA
2020-2021,May,04,ASSAM,0414,GOLAGHAT,331429,182.585284825882,10,43,0,238,0,11124,331413,14478,14124,29757,34939,0,605.11137,31669,41210,131032,270042,2,186634,364532,11362,605.11137,148014,91,86.65,63.82,100.34,NA
2020-2021,May,04,ASSAM,0425,CHIRANG,119846,189.897873334891,11,7,0,448,0,1930,119812,4488,11400,61833,81365,0,227.52044,10414,14315,80969,181677,0,112926,241387,2378,227.52044,59841,76,58.3,57.05,99.93,NA
2020-2021,May,04,ASSAM,0429,HOJAI,131052,125.376049201844,12,32,0,230,0,5212,131052,13540,19820,2670,4982,0,164.30782,10427,13523,78470,135160,0,122828,203236,5442,164.30782,52734,84,54.49,55.82,99.93,NA
2020-2021,May,04,ASSAM,0431,SOUTH SALMARA-MANKACHAR,78019,206.251783215358,9,1,0,18,1,1778,73603,1163,1065,87,162,0,151.8075,8112,8683,38307,50370,0,60697,79558,1796,151.8075,41659,69,86.48,91.91,100.46,NA
2019-2020,June,04,ASSAM,0403,BONGAIGAON,372906,168.123395032645,16,27,20.23833368,742,0,1549,371425,19915,11524,3607,2513,9,653.69065368,21895,31097,62329,166401,22,121667,297061,2291,624.45232,149060,56,46.78,72.51,103.72,NA
2019-2020,June,04,ASSAM,0404,GOALPARA,202064,159.007249206492,12,25,1.20042,29,12,4567,199746,4893,7052,45976,47625,0,318.81104,15569,20996,75111,183821,0,154269,323538,4596,317.61062,85195,92,78.31,74.11,100.56,NA
2019-2020,June,04,ASSAM,0405,BARPETA,1151289,207.719427821353,20,1741,0,1276,0,7271,1148837,28977,10616,16346,4229,0,2386.357643,55283,89416,161862,374564,19,298521,629320,8547,2386.357643,460666,49,48.93,60.7,105.33,NA
2019-2020,June,04,ASSAM,0406,NALBARI,1196837,181.115751644161,26,28,0,199,0,3185,1194834,30821,6167,19678,4014,0,2164.03258,44368,56834,94550,168042,38,158512,264291,3384,2164.03258,445779,43,56.98,73.44,100.09,NA
2019-2020,June,04,ASSAM,0408,DARRANG,267064,215.41225943382,17,24,0.1909897,2146,0,1298,264792,6943,5451,1035,703,0,570.5854197,14833,22996,75944,179399,1,166752,336784,3444,570.39443,112835,79,62.63,60.19,100.19,NA
2019-2020,June,04,ASSAM,0410,LAKHIMPUR,2043383,161.283379358388,27,148,56.800743302,863,0,4272,2039831,84170,15332,619076,94851,0,3346.709113302,73282,129735,131621,335379,307,220109,474268,5135,3289.90837,1003176,66,41.66,70.63,109.41,NA
2019-2020,June,04,ASSAM,0411,DHEMAJI,1207791,184.823195661937,22,128,96.0752507,970,0,4491,1202380,35787,12526,628046,192437,0,2318.3523907,53384,96912,111062,390666,9,162918,511651,5461,2222.27714,582688,64,36.73,84.42,99.96,NA
2019-2020,June,04,ASSAM,0412,Morigaon,578677,186.126053192746,15,31,24.781194625,2027,5,5224,575868,72043,27103,57402,31183,0,1096.621574625,37215,52118,125254,262408,0,180850,351267,7251,1071.84038,223928,82,56.19,79.19,100.45,NA
2019-2020,June,04,ASSAM,0415,JORHAT,166346,194.081282387313,11,12,0,99,0,1534,166346,11779,7755,24451,12120,0,322.84645,14847,16506,76883,126342,0,137952,205254,1633,322.84645,71027,19,68.73,81.55,101.11,NA
2019-2020,June,04,ASSAM,0422,HAILAKANDI,135849,175.210749637011,14,11,92.546009441,269,0,1923,135679,15721,10930,1490,2555,15.295,345.565202441,9267,10029,79848,154210,0,131758,234324,2192,237.724193,34769,90,48.8,37.49,104.18,NA
2019-2020,June,04,ASSAM,0424,BAKSA,898576,195.311828651048,16,77,0,1339,0,6654,898564,64076,23959,379799,120355,14.2,1769.20178,55203,64347,154330,280131,0,240452,407802,7993,1755.00178,438628,83,61.94,65.96,101.09,NA
2019-2020,June,04,ASSAM,0425,CHIRANG,623510,190.830229743741,21,15,0,884,0,1509,623042,33121,11981,338810,83775,0,1188.95248,29604,43906,83411,186984,4,112255,240954,2393,1188.95248,302169,77,51.39,72.94,100.54,NA
2019-2020,June,04,ASSAM,0430,CHARAIDEO,78535,175.627733414842,11,13,14.172462964,282,0,748,78519,959,1252,3304,2088,0,152.073602964,6980,8533,39579,76962,0,69761,121085,1030,137.90114,37009,43,68.75,78.81,101.81,NA
2019-2020,June,04,ASSAM,0432,MAJULI,432140,191.96395646102,22,13,0.0700088,353,0,1222,431062,57072,6456,169580,34191,0,827.5536788,18995,28205,29735,67224,11,39017,80647,1575,827.48367,170328,90,73.16,70.43,105.61,NA
2021-2022,April,04,ASSAM,0413,NAGAON,663190,95.1549359631693,10,44,0,275,50,32700,657278,20060,17565,10343,11941,0,625.43246,60679,79517,206178,341903,0,329962,508327,32975,625.43246,298785,87,47.6,83.53,99.9,NA
2021-2022,April,04,ASSAM,0418,TINSUKIA,92849,126.149069794999,8,5,6.840896141,250,12,12152,92829,1892,3042,6466,17738,0,123.943816141,11572,13755,108940,180218,0,188257,281237,12402,117.10292,47991,87,85.9,86.33,100.84,NA
2021-2022,April,04,ASSAM,0419,KARBI ANGLONG,105522,73.8347947071697,9,14,1.481779,120,2,9512,68999,1515,9530,57458,128622,0,52.427049,7556,9029,87403,171518,0,125645,233389,9632,50.94527,35088,59,91.88,97.72,107.6,NA
